model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand,ID
 A1,2016,11995,Manual,22606,Petrol,30,57.6,1.4,Audi,22020
 A4,2013,6000,Manual,129680,Diesel,30,64.2,2.0,Audi,35851
 Golf,2016,13920,Manual,47576,Diesel,20,67.3,2.0,VW,20037
 Golf,2015,10600,Manual,30983,Petrol,30,53.3,1.4,VW,33065
 Golf,2019,21699,Semi-Auto,5229,Petrol,145,43.5,1.5,VW,34154
 Golf,2016,10990,Manual,39127,Diesel,0,74.3,1.6,VW,43880
 C Class,2017,25498,Automatic,6067,Diesel,145,67.3,2.1,Mercedes,36777
 GLE Class,2019,46995,Automatic,6999,Diesel,145,36.7,2.0,Mercedes,42288
 A3,2017,11600,Manual,40795,Diesel,0,74.3,1.6,Audi,18532
 Arteon,2019,27498,Manual,40,Diesel,150,52.3,2.0,VW,41562
 2 Series,2019,25850,Automatic,5560,Diesel,150,48.7,2.0,BMW,10140
 A5,2019,22000,Automatic,6066,Petrol,145,51.4,2.0,Audi,5215
 Up,2015,6299,Manual,19417,Petrol,20,62.8,1.0,VW,17352
 3 Series,2019,28348,Automatic,4884,Petrol,145,41.5,2.0,BMW,43927
 A1,2019,20595,Manual,6000,Petrol,145,47.9,1.0,Audi,36376
 Q3,2019,28450,Manual,3544,Diesel,150,40.9,2.0,Audi,31447
 X1,2016,13700,Manual,52226,Diesel,20,68.9,2.0,BMW,22911
 Touran,2016,14950,Manual,31004,Diesel,30,64.2,1.6,VW,29984
 1 Series,2014,12300,Automatic,41850,Diesel,30,64.2,2.0,BMW,37979
 Q2,2019,25499,Semi-Auto,7897,Diesel,145,47.9,2.0,Audi,30169
 A3,2016,15800,Manual,23631,Petrol,30,58.9,1.4,Audi,5072
 Touran,2018,23490,Semi-Auto,6392,Diesel,145,58.9,2.0,VW,25901
 T-Roc,2018,17999,Manual,6400,Petrol,150,55.4,1.0,VW,21859
 C Class,2019,24039,Manual,1066,Petrol,145,47.1,1.6,Mercedes,15056
 Golf,2015,11070,Manual,20137,Petrol,30,53.3,1.4,VW,37739
 Tiguan,2009,5395,Manual,91000,Diesel,260,39.2,2.0,VW,28229
 A1,2019,18643,Manual,6000,Petrol,145,48.7,1.0,Audi,40858
 X3,2016,22450,Semi-Auto,22699,Diesel,200,47.9,3.0,BMW,32030
 Golf,2016,13991,Manual,20902,Petrol,30,53.3,1.4,VW,37212
 Golf,2010,4990,Manual,93000,Diesel,30,58.9,1.6,VW,9077
 X1,2017,20685,Automatic,19116,Diesel,145,57.6,2.0,BMW,36031
 1 Series,2011,6000,Manual,80183,Diesel,145,55.4,2.0,BMW,35380
 Passat,2017,11350,Manual,37051,Diesel,20,70.6,1.6,VW,29937
 C Class,2019,20999,Semi-Auto,12394,Diesel,145,61.4,2.0,Mercedes,39737
 Tiguan,2019,22992,Automatic,7240,Diesel,145,46.3,2.0,VW,8944
 C Class,2019,30000,Automatic,7311,Petrol,145,44.1,2.0,Mercedes,38492
 Polo,2018,13650,Manual,15581,Petrol,145,52.3,1.0,VW,30665
 Q3,2015,17650,Manual,38122,Diesel,145,52.3,2.0,Audi,27366
 Up,2015,5698,Manual,42870,Petrol,20,62.8,1.0,VW,14326
 Tiguan,2017,19695,Semi-Auto,16090,Diesel,145,49.6,2.0,VW,3795
 A5,2020,32995,Semi-Auto,2000,Diesel,145,48.7,2.0,Audi,45911
 3 Series,2017,16000,Automatic,45456,Diesel,30,64.2,2.0,BMW,22558
 TT,2016,36990,Automatic,31362,Petrol,300,34.5,2.5,Audi,39562
 Up,2017,6990,Manual,21483,Petrol,20,64.2,1.0,VW,45629
 Q5,2019,39990,Automatic,2632,Diesel,145,38.2,2.0,Audi,21121
 Q3,2019,26990,Manual,6000,Petrol,145,39.8,1.5,Audi,45063
 E Class,2019,28049,Semi-Auto,14307,Diesel,145,65.7,2.0,Mercedes,28580
 Golf,2019,19995,Semi-Auto,2099,Diesel,150,52.3,2.0,VW,417
 X1,2018,25457,Semi-Auto,9421,Diesel,145,60.1,2.0,BMW,39342
 Polo,2016,8995,Manual,24564,Petrol,20,58.9,1.0,VW,1994
 E Class,2017,21989,Semi-Auto,23211,Diesel,145,65.7,2.0,Mercedes,27196
 A3,2016,10099,Manual,70070,Diesel,0,74.3,1.6,Audi,28871
 3 Series,2019,35450,Automatic,6500,Diesel,145,50.4,2.0,BMW,41799
 Passat,2016,7492,Manual,127000,Diesel,20,67.3,2.0,VW,41957
 GLA Class,2016,19124,Semi-Auto,29774,Diesel,125,55.4,2.1,Mercedes,27065
 C Class,2016,16000,Manual,39877,Diesel,30,65.7,1.6,Mercedes,34777
 TT,2016,16499,Manual,16917,Petrol,145,47.1,1.8,Audi,15444
 A5,2019,28450,Automatic,2913,Petrol,145,39.8,2.0,Audi,30444
 Golf,2019,28999,Automatic,3972,Petrol,150,32.8,2.0,VW,45006
 A5,2019,29990,Automatic,10000,Diesel,145,50.4,2.0,Audi,28526
 Golf,2019,17200,Manual,2000,Petrol,145,47.1,1.5,VW,8198
 GLC Class,2016,24480,Semi-Auto,31730,Diesel,125,56.5,2.1,Mercedes,30215
 GLC Class,2019,28985,Automatic,14123,Diesel,145,56.5,2.1,Mercedes,19805
 X1,2018,20980,Semi-Auto,29757,Diesel,150,60.1,2.0,BMW,1473
 C Class,2016,21499,Automatic,26741,Diesel,30,65.7,2.1,Mercedes,2914
 Q3,2016,15200,Automatic,58750,Petrol,145,47.9,1.4,Audi,31486
 GLA Class,2016,19500,Automatic,25922,Diesel,125,56.5,2.1,Mercedes,23341
 Golf,2016,8698,Manual,58821,Diesel,0,74.3,1.6,VW,37227
 GLE Class,2018,46980,Semi-Auto,6948,Diesel,145,36.7,3.0,Mercedes,28453
 X3,2016,20998,Semi-Auto,25574,Diesel,145,54.3,2.0,BMW,26588
 2 Series,2016,11795,Automatic,67370,Petrol,125,50.4,2.0,BMW,15877
